0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,26848781.100640234,33156875.40157138,0.0,0.0,0.037469026083155534
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7132878.174692404,6320800.309666242,151900000.0,0.0,0.00986839824438381
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,20675114.085782222,31358014.39583997,0.0,1105.9142768193071,0.00796660979193518
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8260799.852240559,12857587.774250694,121200000.0,0.0,0.01906811859827528
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25493352.3533908,6320800.309666242,61400000.0,0.0,0.035072614186762247
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25795649.978158865,0.0,61400000.0,1155.0800300986346,0.012720968580054913
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,1,0,3,2,0,0,0.0,115107981.8380928,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20696691.066094596,25037214.086173728,0.0,1107.5217960219297,0.007969430910134596
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,26837992.610484045,36672366.49091271,0.0,0.0,0.037459622355824146
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26813284.258159332,8453407.696608048,30700000.0,2446.864529156784,0.0044844540720924905
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27916403.320773814,6320800.309666242,0.0,0.0,0.06314438094474507
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26870358.080952607,24198032.45136138,0.0,2450.8891967230047,0.004498540024538195
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25795649.978158865,0.0,61400000.0,0.0,0.03533602383348587
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26802495.768003143,6320800.309666242,30700000.0,1968.7368178449638,0.005604157031015907
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27948768.79124238,0.0,0.0,1648.0983935108184,0.009475888819010887
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26834861.238471705,0.0,30700000.0,1187.3268535108655,0.01346013289995607
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26802495.768003143,6320800.309666242,30700000.0,0.0,0.03736104687343938
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2883798.625241106,51657302.023160666,0.0,0.0,0.004276771350862182
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,25037214.086173728,151900000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27948768.79124238,0.0,0.0,0.0,0.06317259212673922
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2858811.398092558,24198032.45136138,121200000.0,0.0,0.004227937430576893
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2869878.7630725787,25037214.086173728,30700000.0,0.0,0.00419700332314018
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8260799.852240559,0.0,121200000.0,278.8287110936384,0.0068645226953791
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25493352.3533908,6320800.309666242,61400000.0,1895.6114272681016,0.005260892128014338
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24888757.10385467,6320800.309666242,61400000.0,2300.350171825893,0.004145495387197797
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,627358.5556266314,75928728.21366581,30700000.0,27.47706038658602,0.00020166217911022854
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,24888757.10385467,8453407.696608048,61400000.0,1851.6076193674323,0.005181869233997249
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,26837992.610484045,30518832.761027623,0.0,2447.8935374089406,0.004495154682698897
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.0,33899030.27732149,61400000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27948768.79124238,0.0,0.0,992.7369146794579,0.022742133165626125
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,941037.8334399471,68596647.99414404,30700000.0,41.215590579879034,0.0003024932686653428
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25795649.978158865,0.0,61400000.0,2382.352562078434,0.004240322860018304
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24888757.10385467,6320800.309666242,61400000.0,1115.321295430736,0.012436486161593395
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2905375.6055534803,45336501.71349442,0.0,186.60674088260157,0.0006443368208287425
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,627358.5556266314,81623349.41048583,30700000.0,0.0,0.0005601727197506348
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,3,0,0,0.0,85159742.67354356,30700000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2873010.1350849187,52668581.933016196,0.0,110.95067833444449,0.0015362523444710874
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20664325.595626034,31358014.39583997,0.0,0.0,0.053101328218903135
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4659474.216141892,20299287.62732069,121200000.0,276.6615083091939,0.0013761996729714536
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24888757.10385467,7332080.219521779,92100000.0,1851.6076193674323,0.005181869233997249
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2837513.292604017,31358014.39583997,30700000.0,0.0,0.00416879214114603
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,273100000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,20664325.595626034,32369294.305695508,0.0,1372.9373013908285,0.006372159386268376
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24888757.10385467,7332080.219521779,61400000.0,0.0,0.03454579489331498
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7132878.174692404,0.0,151900000.0,320.53204085380935,0.003552623367978171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27229828.317715865,20299287.62732069,0.0,2316.4327599907974,0.005525930368095033
