0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,6,0,0,5,5,0,6,0,3,1,0,6,7,0,3,202927477.35374144,353337922.06932104,388400000.0,4667.559590143642,0.03944709390027278
1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,2,3,5,0,8,2,1,6,6,8,7,10,6,10,0,4,18141395.544839863,585635138.5465178,1158800000.0,589.8373681355826,0.0026401533196607116
1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,2,4,8,5,4,7,5,5,5,7,4,7,1,1,9745216.889635306,630573882.9052397,1152700000.0,203.14854347012485,0.002026118382884119
1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,5,1,0,5,5,0,5,3,5,7,7,2,7,2,6,61268343.80097025,495059524.57643324,600300000.0,0.0,0.046542025970169126
1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,7,2,3,9,2,8,9,10,1,6,6,4,5,6,6,43562578.30673604,762014779.4207304,388400000.0,0.0,0.02699384244253136
1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,5,2,5,9,1,6,7,5,2,6,4,4,7,6,1,72411444.25501907,676232258.5001898,478900000.0,491.18501295501903,0.015595112034732728
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,6,6,0,5,0,0,4,2,3,5,1,7,6,6,0,258653605.49202004,401305181.4042707,176700000.0,5582.195106982106,0.0606187515233634
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,1,2,5,4,0,9,3,5,5,2,6,6,7,3,223038229.7157559,574209761.2199824,61400000.0,3660.441138777138,0.04477681204550868
1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,3,2,2,0,7,1,1,7,5,7,5,9,3,10,1,0,67655978.26506062,509988830.26549435,666200000.0,3248.2911477038015,0.004900452384220782
1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,6,2,3,7,2,0,6,5,6,6,1,3,5,4,4,22876267.757366892,553520232.6619694,1014200000.0,535.5857679348657,0.005071525536219731
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,7,2,0,7,3,3,5,4,1,9,5,4,7805559.08287935,508928008.72523046,1913400000.0,173.52794146632664,0.0016617125775156543
1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,7,5,5,6,4,6,7,7,1,6,4,9,8,2,2,60384728.842681065,723923961.3959728,321100000.0,2620.4595855280527,0.005259635799177348
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,7,1,1,5,8,0,6,2,1,2,1,6,6,7,0,298637826.04141194,515266447.96038127,61400000.0,9681.468625926507,0.022244321126537337
0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,7,3,1,6,1,0,8,4,1,5,6,2,5,5,3,97574265.4957594,541542885.3134462,400400000.0,3724.234934757891,0.008700611192308009
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,7,1,2,5,7,0,6,2,5,2,2,6,6,7,0,284446699.7924297,524492078.2105476,61400000.0,9007.073940223007,0.021610508442950795
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,3,1,6,6,3,4,4,6,10,4,4,3,607168669.6251613,550223887.5793643,199900000.0,0.0,0.3975542394079077
1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,7,5,6,7,7,6,8,7,4,7,4,7,6,3,0,74556602.10178365,749415813.2390199,267200000.0,0.0,0.04947615687781337
0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,4,6,4,1,6,6,7,7,4,5,7,5,3,7,5,4,54426144.42696565,712336636.370958,400400000.0,2173.9864681050476,0.004392718109789667
1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,2,5,2,8,2,0,6,5,6,8,1,0,7,3,5,12633699.237563146,549777636.8961897,1285900000.0,216.53667029151578,0.005473442158917053
1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,6,2,10,5,0,8,3,1,6,7,7,7,2,10,2427920.424168347,597186232.5060743,1852000000.0,0.0,0.0020612526109146335
1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,7,2,3,6,1,4,6,4,1,6,6,1,9,5,3,21850047.93895533,633709562.0888013,893000000.0,466.2331220062864,0.004944657507873345
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,0,0,5,7,0,6,3,2,1,5,6,8,0,0,433661760.97275496,386902885.5753068,61400000.0,6337.673634687333,0.0817920166082275
1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,2,5,7,1,6,9,3,3,6,5,3,6,3,3,122835912.93196638,621859090.4381427,351800000.0,0.0,0.06414899945939227
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,7,1,7,5,1,0,3,6,6,8,3,3,433582543.76940596,534591154.68548936,115300000.0,0.0,0.4306054250367384
0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,3,7,5,2,7,1,1,9,5,6,5,6,6,10,4,6,43039002.62841257,707273198.0843012,485000000.0,2162.4338051053537,0.0025088953710310736
0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,6,0,0,3,2,0,5,2,3,0,5,0,5,0,7,430695460.6632609,341579071.860705,523300000.0,9411.05642129834,0.09111925698432642
0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,4,6,4,1,5,6,7,9,4,0,7,2,3,7,5,4,52765227.50453638,660499514.4821088,388400000.0,2346.9256311924055,0.0040922098595638935
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,6,1,0,6,4,0,6,2,1,6,6,1,6,7,1,101315358.62671268,487647518.6740273,236500000.0,3177.4730625238967,0.013336148389586884
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,4,6,9,0,7,6,0,6,5,5,7,2,5,154104065.5305274,612940270.4865991,0.0,6320.822680393323,0.014288877561759544
0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,7,1,1,7,1,6,9,4,0,4,1,9,7,5,2,76384582.16949052,606989091.7123854,267200000.0,4055.0561842162087,0.003838459115202048
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,0,5,0,0,7,1,2,0,0,6,9,0,3,521424312.5393092,309059463.67934763,423600000.0,19363.3322561139,0.04726843002818041
1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,4,5,0,5,1,0,5,0,4,9,5,7,7,1,2,51083190.42325117,442169758.376109,1221700000.0,0.0,0.03609785988102249
0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,7,2,3,10,2,6,9,0,1,4,5,6,7,5,5,17957492.23520315,683733011.3974458,758100000.0,0.0,0.005935015838850472
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,2,4,3,3,2,7,2,1,5,6,2,5,2,4,405946925.5374936,549550389.2558526,236500000.0,0.0,0.2522379531979707
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,7,5,2,9,6,1,5,4,7,6,3,6,7,5,7,121484154.64021674,737877084.7035677,182600000.0,2780.5452714247986,0.010271731813641202
1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,7,3,1,9,2,1,9,4,6,6,7,6,7,2,2,4140818.9687497457,661519927.4806992,1145100000.0,0.0,0.001501788962928191
0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,2,7,5,3,9,9,6,6,4,6,6,7,6,7,5,4,14318559.47001569,830097360.9314841,509600000.0,460.7436308068856,0.0022531347447043307
1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,3,7,2,3,10,6,10,9,5,1,7,7,2,8,5,1,2190215.2152477447,826130733.5061951,812000000.0,115.32922014696439,0.00010017483080542152
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,5,0,0,6,9,0,6,6,7,6,6,5,7,2,5,267725680.35377672,524398622.0612455,146000000.0,4568.7815638096345,0.02191279811324344
1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,2,0,6,0,10,5,0,8,3,3,5,4,6,8,5,2,25605715.291524336,526045160.98996663,1543700000.0,330.6239916923164,0.001753096679060108
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,6,0,0,6,0,0,7,3,1,4,6,5,4,4,1,2544849022.062755,363899238.83434445,92100000.0,23705.020580132325,0.19387246563335667
1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,6,0,0,7,5,0,7,1,0,6,0,3,4,0,3,159331232.65285987,360122323.44351834,977600000.0,0.0,0.1029250138946549
1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,3,6,1,0,6,4,0,9,3,0,5,5,5,7,5,5,31315525.307204932,490525510.7682314,1112500000.0,1512.420522806154,0.002066643853152077
1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,7,2,0,6,3,1,6,4,6,5,6,1,9,0,6,19106759.184273474,541946807.1431528,1145100000.0,0.0,0.010674176860565031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,4,1,0,0,6,0,6,5,4,7,4,6,1851658117.987863,485862891.32650757,0.0,0.0,2.011783219885359
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,1,2,0,7,3,0,2,1,5,0,3,6,1979679657.3178957,445764449.7932084,0.0,90357.59079005623,0.14731599689638078
1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,7,2,1,6,5,0,7,0,1,6,3,2,6,2,5,13763454.68094548,512989136.15766,1401200000.0,0.0,0.008873698351907
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,3,1,6,6,6,1,4,4,5,7,5,8,747046607.0976702,629111601.4820079,84600000.0,0.0,0.5531849529424612
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,3,0,6,0,0,7,2,5,3,5,1,7,7,1,883409181.3152765,448881766.9687739,92100000.0,0.0,0.4390504320053523
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,2,3,6,0,0,7,6,1,9,1,5,9,7,2,218977913.99031657,546216047.0826406,217800000.0,4237.008442176983,0.06246505433959832
0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,3,5,1,6,10,6,1,10,4,0,5,5,1,7,4,5,30477946.71615686,678011498.5540091,607900000.0,1626.6576598301924,0.0016625669732200973
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,7,1,0,5,5,0,9,0,3,2,7,4,7,5,7,127298686.58751951,504982666.4765433,261300000.0,0.0,0.0602335434182105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,4,0,0,7,5,0,6,5,4,2,3,6,2421348178.7123938,423402076.92882776,0.0,0.0,1.3618168484368298
1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,6,2,0,7,2,0,6,2,0,6,1,3,5,4,4,25213386.423481613,444635781.6163713,1137100000.0,0.0,0.016168849212399278
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,9,0,0,6,7,0,4,5,2,7,4,1,3709683026.106696,350881924.6949876,146000000.0,34392.11972742318,0.21423262598294152
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,0,5,0,0,4,3,4,4,9,5,0,5,1,4460778565.220849,260772026.9239549,213300000.0,57438.90826638599,0.2701707048761188
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,7,0,0,4,1,0,6,5,0,0,6,3,2,2,7,183298236.0641517,362426007.1790738,881000000.0,0.0,0.10321072485489191
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,4,7,2,6,9,6,7,10,4,6,6,6,3,7,5,5,25533547.725544967,815690516.5163565,267200000.0,1537.4908545737007,0.0015149850566577622
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,0,4,0,0,2,2,3,1,1,6,0,7,0,4622111729.524203,197426442.67584905,213300000.0,64126.49019729573,0.2896557972818442
1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,2,3,3,0,1,6,2,1,5,4,1,6,5,8,573289647.0668459,534086144.48181355,230600000.0,0.0,0.36885033626161623
1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,5,2,0,10,1,0,10,3,2,6,6,9,6,5,7,19934628.584513295,567708815.371001,806100000.0,0.0,0.011343883326513876
0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,5,2,0,6,2,0,7,2,3,6,6,0,5,6,4,110051005.79148012,472084250.8067121,675200000.0,0.0,0.06149866465735841
1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,2,1,0,0,5,0,0,7,3,3,2,4,6,3,7,0,488221003.1793101,303133176.93685246,588300000.0,9078.421250037243,0.037304452691155954
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,7,2,1,5,7,1,6,5,3,970122733.0520287,351890029.9823904,199900000.0,19740.13312753852,0.22126599592316232
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,7,3,0,7,6,2,0,3,0,5670880467.819975,174966394.24728718,151900000.0,88562.33353668515,0.4491604861313706
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,4,1,6,2,1,6,5,1,6,6,9,7,3,0,182682303.93843627,578193701.8147849,61400000.0,5708.1704453929815,0.01390229140801669
1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,3,5,0,0,4,2,0,4,2,3,2,1,5,6,0,2,206276240.9909788,338018497.0406413,1069800000.0,9430.665372615647,0.01617226062198471
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,6,2,5,6,10,0,0,5,6,1,6,2,6,3168667521.9455023,553012069.4029824,0.0,44242.17778099119,0.19531114702651842
1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,7,2,0,10,6,9,8,0,1,9,7,2,6,2,6,9290758.537245765,701817801.8358597,896600000.0,0.0,0.006263945490848528
0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,4,1,3,5,5,1,9,2,1,9,7,4,8,7,5,81698526.72964063,639498055.9649239,448400000.0,1707.0585359561746,0.020004592625076503
1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,3,4,2,2,6,5,3,6,1,1,6,2,5,7,5,5,13940762.51464314,607438087.377935,1098800000.0,603.439352767459,0.0010733312394404072
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,10,0,0,6,3,0,3,4,6,7,0,0,3739802815.1471505,239821315.25097933,267200000.0,28926.958525440845,0.270262819875552
1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,0,5,0,0,6,3,0,6,5,3,5,3,0,1392385432.9323986,299492312.35144943,267200000.0,0.0,0.700243571856453
1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,3,7,0,7,6,5,0,8,3,0,6,6,4,7,3,1,18399633.562348977,522139164.8954262,636900000.0,846.5212554711038,0.0012738467502382289
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,6,0,0,6,4,0,7,3,1,0,7,5,5,5,0,134944411.82365906,393608954.27969587,297900000.0,0.0,0.05971999353055511
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,5,0,0,1,3,7,3,6,2,0,0,0,5312957853.321842,176174415.74288765,303800000.0,74769.2157397408,0.4797106234488463
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,2,1,0,6,4,4,0,6,5,8,1,0,1074314150.2762647,334010077.76422906,230600000.0,0.0,0.623487382838083
1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,7,3,0,6,2,0,6,3,4,5,6,1,5,7,7,48377435.924041264,527000143.62469393,419100000.0,0.0,0.026260745682213628
1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,7,2,0,8,1,7,8,5,6,6,2,2,7,5,5,5453117.217590345,645990747.7703694,1370500000.0,128.9337298756189,0.0010158045218108588
1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,6,1,0,5,5,0,7,2,3,5,5,5,9,4,3,32039537.80982336,510317758.8083539,1308600000.0,1148.648988632242,0.002424211472909767
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,9,0,3,0,6,3,5,4,7,4183703291.174361,342299083.75804275,30700000.0,0.0,2.0532787334814606
0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,7,0,0,4,2,0,5,2,0,5,5,1,2,4,4,469512706.711025,362611873.1207546,485000000.0,0.0,0.31572956096622634
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,4,0,6,6,5,5,3,0,6668987176.255496,248185445.95415437,0.0,134253.881455072,0.6183723000806567
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,1,4,7,6,6,1,5,1,0,1944260937.7019482,276934823.8735964,261300000.0,0.0,1.6020308058781856
0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,2,5,0,0,5,0,0,4,5,0,2,4,5,2,1,0,582666711.3458077,258325066.75046363,419100000.0,17502.47011133401,0.05071866868008554
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,7,2,1,5,4,1,4,5,2,1552266913.254004,344428043.7203256,84600000.0,32795.67198633236,0.35991825132974764
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,0,0,4,0,0,5,5,0,1,1,6,3,0,1,4632192995.166064,242878149.17290786,151900000.0,63075.12075119543,0.2841922688687976
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,7,0,0,5,3,0,4,2,5,5,7,1,4,4,1,616192627.794056,412848014.31504303,92100000.0,21293.569312955922,0.046097407850799375
1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,7,1,3,10,7,5,8,3,2,6,7,5,6,3,6,46200108.29694531,752224870.239972,485000000.0,1847.4034869711118,0.0041091070261588675
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,5,0,0,2,1,0,5,4,1,2,2,1,5,4,0,985072926.4147185,323756919.86415803,267200000.0,18295.501408554017,0.20562165250222297
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,4,8,5,6,2,5,5,0,5387960315.98538,281033050.0356116,0.0,0.0,2.832140881724525
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,7,0,3,5,3,0,5,4,4,5,5,5,3,3,6,674433841.8131181,486250508.5709026,61400000.0,21804.077777838585,0.06429081187326463
0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,7,2,7,9,0,5,9,4,6,6,4,6,7,2,3,2896417.4567885846,664997807.6661384,983500000.0,0.0,0.0010339329900203678
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,4,3,0,0,3,0,6,5,2,2,5,5,5,7,0,1749742628.7583742,364904467.164058,176700000.0,34741.82371169634,0.14015542092334873
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,3,3,5,0,6,0,0,6,5,2,7,0,5,2248107016.405522,459285629.9537041,0.0,22230.810583012644,0.5816450815464548
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,6,0,0,6,3,6,0,1,5,4,0,0,3996821575.9875674,220677476.68662187,297900000.0,40077.19794545671,0.2888921361407926
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,7,0,3,10,5,7,7,3,1,7,7,1,7,4,1,224389746.7574123,683983611.8882713,92100000.0,5232.3709980270605,0.015471706424597087
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,5,0,0,7,4,3,6,6,6,3,3,5,895088693.7792717,385805434.4813508,30700000.0,27076.887156904704,0.0842665318722238
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,0,0,5,0,0,4,1,4,0,2,6,5,0,0,997912191.2404238,265875446.01430038,61400000.0,38656.33678337747,0.08084053633052495
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,7,5,1,2,6,4,2,3,1,3049543236.67063,344299101.245338,0.0,0.0,1.6211425696451727
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,5,0,0,1,3,4,3,6,5,0,0,0,5895018615.035281,172287711.980758,182600000.0,97145.39302192157,0.5532527908719556
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,5,0,0,9,1,0,0,5,3,5,4,7,4255844640.583489,317207722.93647295,61400000.0,22358.38617997756,0.7550295220651149
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,7,4,0,6,7,0,7,3,3,6,6,5,7,5,5,59766010.83801495,573143607.0280308,236500000.0,3025.2139717761315,0.0052048516880450636
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,3,7,0,6,0,0,6,6,2,7,0,5,1753940846.409964,527936089.3647897,0.0,0.0,1.3888665196571712
1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,3,0,2,3,9,5,5,8,1,3,9,7,1,8,5,7,0.0,657660748.5277612,1588300000.0,0.0,0.0
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,2,0,2,0,0,1,4,0,2,1,5,0,0,0,5728360079.195205,154013422.24360934,303800000.0,89420.80469290589,0.5152174713504484
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,4,7,0,4,7,1,3,3,0,5419981353.983397,207443704.7422021,30700000.0,95322.63486654779,0.3561110878457684
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,5,0,0,7,2,0,0,6,2,3,3,0,4409985953.316338,279378463.5718584,30700000.0,0.0,2.2048131194411242
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,7,4,0,6,0,0,6,2,3,5,5,5,7,7,1,152073892.9822602,464730308.9169584,146000000.0,6767.308670250051,0.012605069838502897
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,4,0,0,2,5,0,1,1,6,0,7,0,4976960578.801822,176838982.9859722,182600000.0,77675.13993902922,0.33888909543512713
1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,6,0,1,7,2,0,5,2,2,3,4,5,0,0,0,504425736.9099514,344450588.1658714,1293500000.0,0.0,0.341647233952772
1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,7,1,0,7,0,0,6,6,3,5,4,9,7,0,7,128378898.82016443,436038331.82292575,795000000.0,0.0,0.10658683400647634
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,3,0,4,2,0,7,5,3,5,5,5,5,3,0,1788745785.6633627,417662644.18681127,30700000.0,26433.178369545923,0.11196221104917524
1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,5,3,3,7,2,0,7,2,0,4,9,3,7,3,1,33270145.388802264,510251409.4054261,946900000.0,0.0,0.015204841878582943
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,6,1,3,1,4,2,0,0,7,2225143776.1872516,224199722.2623295,115300000.0,51311.34394695802,0.49694776015263353
0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,7,0,0,2,3,0,4,4,0,4,1,6,4,7,0,631878909.6078221,334472631.2064614,469400000.0,10169.06389441785,0.1336780558097784
0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,7,0,0,5,0,0,3,5,0,6,6,6,5,3,0,448075078.6368167,303001548.50710493,400400000.0,14614.690138673292,0.06689804135897086
0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0,5,0,0,4,3,0,4,8,0,0,3,0,4261231255.537822,171965318.5251873,747000000.0,48813.74608348003,0.3303037681562694
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,4,3,0,7,0,0,5,6,0,3,4,5,6,0,0,1656182805.3893871,308934022.9925637,182600000.0,10235.113033520387,0.3061062756192892
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,1,1,7,10,0,3,1,5,2,7,2,4,1149875579.4079626,530225826.0923176,0.0,0.0,0.688883842963276
0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,2,0,0,0,5,0,0,1,3,1,6,1,6,4,0,0,4415822982.158315,197573721.39748815,334500000.0,40933.87756480684,0.3581023163282226
1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,2,7,5,0,7,2,0,7,0,0,6,6,1,7,0,6,35849265.76946388,430722372.0014083,729100000.0,1236.2039307110106,0.004386581452065545
