A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,policy,model
124,193.2449883211504,1.5,0.3318296463359541,313.00803448546816,1.0,0.6288154227036629,170.24669633032158,10.0,0.370190026639309,42.27554503598317,1.0,0.7326334240340769,145.50414747396567,10.0,0.2871189922101279,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
73,125.69254878129752,1.0,0.5525789063916244,331.39448100233886,10.0,0.0374766346465644,193.2691053905284,1.5,0.3534148922449284,203.8674370255733,10.0,0.1672697716372786,247.9332857010799,1.5,0.7904012579836043,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
55,177.31999173061098,1.0,0.2532186179734844,88.26795904841012,1.0,0.2668006258939717,268.0709736030301,10.0,0.960908126103438,200.3438783113518,1.0,0.8844597036939555,308.71010641788115,1.0,0.4222836626968296,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
108,157.35625388505676,1.0,0.3215708425515549,306.85630177307365,1.0,0.6835709522178048,75.819493469326,1.0,0.8317316437616928,65.52498809708412,1.0,0.9393784519520813,100.09529349255408,10.0,0.6299727269514195,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
6,31.861283779089124,1.5,0.664958482024695,173.48858767905975,1.5,0.5453725735808066,79.63554972324232,1.0,0.5772637197660021,189.8054020974491,1.0,0.7248328923427251,296.90630468597595,1.0,0.4980442605345577,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
127,141.51863276302464,10.0,0.5443465152365399,159.0580592275871,10.0,0.0080902833512625,158.20497448744047,1.0,0.8691924726385067,261.59591942487555,1.5,0.943697886085684,100.48456460647782,10.0,0.1279238701900732,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
58,287.3680001842198,10.0,0.3006946093149041,295.7654952702292,1.5,0.6057565425974877,154.48453745187754,1.0,0.995688873716525,141.45246998784324,1.0,0.9844475935605488,48.46352327145574,1.0,0.0499818756242547,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
72,224.08169375773957,1.5,0.8413492907181498,232.27934327944723,1.0,0.1949874621064462,57.77609312350266,10.0,0.5683504527531001,218.39152207578317,10.0,0.261594741280667,40.42404662343056,1.5,0.8073108110295628,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
9,216.42988731854155,1.5,0.0398024541566851,178.6607988667822,1.0,0.6796473871434678,298.96787211634586,1.0,0.4094472511321523,144.96782037139687,10.0,0.8765003561273237,177.18634061361882,1.0,0.7159804932751844,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
109,144.5671612026042,10.0,0.6983459216916738,155.06147702124207,10.0,0.6597233955927334,209.4298302880205,1.0,0.117863646377327,291.23254659006216,10.0,0.4190588413915216,190.9776461986488,1.0,0.2298406486183176,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
11,220.7936973452756,1.0,0.7083943569316971,41.26585966788524,10.0,0.0580256285821996,206.74678580456305,1.5,0.298378044496758,164.7741970179989,1.5,0.0740041753663016,77.96273543027601,1.5,0.5331310184458274,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
3,254.19345200811264,10.0,0.799296443683135,220.65212904024827,1.5,0.1191421475230223,54.81967031515205,1.0,0.1715104363986603,212.1570588973664,10.0,0.6771892115173692,210.25759202507285,1.0,0.5710686557131656,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
35,90.14590301982054,10.0,0.7135595540138879,323.8136760930642,10.0,0.1426019045775626,179.4429089750907,10.0,0.8024061646696378,276.5345931999482,1.5,0.7756104187480547,169.42228586388137,1.5,0.1349229874727525,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
83,174.86115028750518,1.5,0.0562386636050991,282.1909194977011,1.5,0.6456236694430395,45.476130923248135,1.0,0.7119015608708064,83.36569549424505,10.0,0.8963048095474451,133.7124843667297,1.5,0.0594838514758568,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
103,127.95521418470702,1.5,0.3174329351877567,254.1231527071584,10.0,0.5018585597327824,302.6620581452697,1.5,0.7045212227107591,148.70407635212376,1.0,0.5807636348186257,293.25231679562853,1.5,0.5807739015840588,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
38,274.99206250744714,1.0,0.9637620606492971,123.78188296266484,10.0,0.0949345044784051,124.92889271046496,10.0,0.0794723019496499,71.15617119616988,1.5,0.3313390723806849,307.51308321907936,1.0,0.3558587665650686,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
18,323.8446773702503,1.0,0.0873497868285778,192.949188647432,1.5,0.0610567504470906,60.80183444034034,1.5,0.6607226477464682,88.45072739032389,1.0,0.3079151105237421,239.74448016507537,1.0,0.7616319483986824,1.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
21,116.48766658198257,1.0,0.1627661750700245,184.9890949385101,1.5,0.4919271294851304,88.33996762542967,10.0,0.1520898622561746,316.0047330654048,1.5,0.7861832218697867,64.71912693678823,10.0,0.750223669179429,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
1,326.66184233187903,1.0,0.7701368290745079,56.8832011892841,10.0,0.9393733676675028,151.42106533069818,10.0,0.6041958680868315,330.43930438430385,1.5,0.4555798229665078,161.53760891984066,10.0,0.7032134590760777,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
76,293.0714107322151,10.0,0.8361492444791383,54.93062581892667,1.5,0.6118730397228326,35.382091024045536,1.5,0.0578804972269619,132.42178369367895,1.0,0.1059974900953131,346.727120124186,1.0,0.8179766184805006,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
50,46.60884086926614,10.0,0.1158058220166441,139.1136135608766,1.0,0.2148939817466031,71.35898649009143,10.0,0.6956153625033593,220.30691049498847,1.0,0.8271605143101184,55.92139442941159,1.0,0.3685723687025034,4.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
116,164.06999440603542,1.5,0.900554496076128,229.3511429521991,1.5,0.4726019188740009,120.81145485939636,1.0,0.7979735866130336,335.588946945631,1.5,0.9703106137344664,197.10645435332867,1.0,0.97089812930133,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
42,196.584017785216,10.0,0.2041500461634206,100.31190789823673,1.0,0.735667032333598,67.90874932367052,1.5,0.2081445921038592,124.04417256973318,10.0,0.3651022465673768,243.7227174469642,10.0,0.3281748155321736,1.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
86,332.1545731504094,1.5,0.0684780420736794,200.0376145702023,1.0,0.5519362599539567,293.1859345782306,10.0,0.3299719407089394,57.99379349962182,1.0,0.1350795444547742,244.8408654696088,1.5,0.7805479458407594,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
27,49.97344917497999,1.0,0.399043120846892,83.22902247282433,1.0,0.3694101872518493,201.1106694165879,1.0,0.0029259355063099,230.30843162590077,10.0,0.1979276260625743,50.39947758028384,1.0,0.2039131838273245,2.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
132,93.58782196285674,1.5,0.4250843708542367,45.59104411795251,1.5,0.7777174203234792,345.79322343833906,1.0,0.1337545069166482,283.9812875226187,1.0,0.2133634369657003,252.37504594784195,1.5,0.7211107835143693,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
1,34.05255424275416,10.0,0.9882260114610836,260.0988444878468,1.0,0.7493693948139283,154.84356339023472,1.5,0.1450938205198977,128.11147768504136,1.0,0.2858814792963879,235.54564701002843,1.5,0.3885683799072874,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
118,215.2257963672668,10.0,0.7209251000607629,204.05918484803357,10.0,0.0785942959472518,175.40549235197176,1.0,0.535903525482349,308.2081587082646,10.0,0.4348488738031083,331.2510278277816,1.5,0.8420985558512929,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
115,247.7441592691069,1.0,0.9318042094113352,49.52482358321427,10.0,0.5251676140527808,308.557524804476,1.0,0.9745765000223988,241.3692017557922,10.0,0.6933960738745509,218.5591162744921,1.0,0.4838857891962452,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
20,315.422536348985,10.0,0.0114908066005028,235.64076259042648,10.0,0.9640374228408102,348.6712160357553,10.0,0.3690351219085142,270.58235061135224,10.0,0.9253536846322862,90.51032134129792,1.0,0.1788875753677525,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
12,231.4554295999542,10.0,0.2404885006035504,66.96900201972863,1.5,0.8997717648499821,48.48476598094464,1.5,0.2612577240781605,145.6652255318117,10.0,0.5670695187703819,137.01427460175614,10.0,0.4647004817090333,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
80,68.07994695210314,10.0,0.2644529172870615,303.5672923123324,1.0,0.9583855890358826,134.01048610264638,10.0,0.6871583270527609,61.634637480599125,10.0,0.2906940798763182,266.88910682729187,1.0,0.2416105594107665,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
24,120.86675434221578,1.0,0.3577095644054955,175.5802943355417,1.5,0.313538899185959,82.3740781344739,1.5,0.756434101514011,304.58723912164425,1.5,0.8594998495400349,230.28217887917543,10.0,0.8599631715592346,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
95,110.32144644898304,1.5,0.148276351111035,77.41583916467428,10.0,0.591031031206385,190.17854306213437,1.0,0.9076080466112249,245.1275695351938,10.0,0.3154008765201953,116.39125373547822,1.5,0.0325407381778758,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
119,342.49445388368497,10.0,0.3693715678135562,334.3791310880775,10.0,0.3221828875092848,337.32380721948465,1.5,0.3934787115353771,325.7522319724075,1.0,0.9051172761245212,338.1742249191409,1.0,0.8806560672463863,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
