A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
1275346607.168942,0,0.6264058525630587,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,642249440.2635952,0,0.6264058525630587,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,642249440.2635952,0,,,0,,,0,,,0,,,0,,,
0.0,0,0.0,706688.9454642043,0,0.0010439035040775,18544372.64470084,0,0.0500192309957673,17772242.10104493,0,0.0121138672024857,1030551.7499836124,0,0.0013662862360758,0.0,0.0,0.0,0,0.0,1403307.3326644949,0,0.0010439035040775,36824481.66056633,0,0.0500192309957673,35291223.69659065,0,0.0121138672024857,2046417.786388712,0,0.0013662862360758,0.0,0.0,0.0,0,0.0,1403307.3326644949,0,,,0,,,0,,,0,,,
8087144.612655663,0,0.0086957988057193,2236904.4512651623,0,0.0032799400430582,458654611.0356908,0,1.1437404066328982,0.0,0,0.0,0.0,0,0.0,0.0,0.0,16059044.659037616,0,0.0086957988057193,4441932.251916415,0,0.0032799400430582,910773237.5861372,0,1.1437404066328982,0.0,0,0.0,0.0,0,0.0,0.0,0.0,9864056.447976006,0,0.0086957988057193,2728398.3201535265,0,0.0032799400430582,559430452.9067738,0,,,0,,,0,,,
3979159.395497788,0,0.0028062519189017,9103526.858407222,0,0.0086277310746449,10859388.660304474,0,0.0192425755343302,1574069.836915381,0,0.0008211308794079,33440207.334428605,0,0.0296841643137439,0.0,0.0,3979159.395497788,0,0.0028062519189017,9103526.858407222,0,0.0086277310746449,10859388.660304474,0,0.0192425755343302,1574069.836915381,0,0.0008211308794079,33440207.334428605,0,0.0296841643137439,0.0,0.0,2598994.13840732,0,0.0028062519189017,5945982.704438541,0,0.0086277310746449,7092826.567026103,0,0.0192425755343302,1028106.1583548504,0,,,0,,,
0.0,0,0.0,101434393.90206952,0,0.0893137783247722,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,101434393.90206952,0,0.0893137783247722,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,131559949.7606408,0,0.0893137783247722,0.0,0,0.0,0.0,0,0.0,0.0,0,,,
3170976.1931674,0,0.0028072074462651,7271158.894193063,0,0.0086703558654422,13749822.380289886,0,0.0305424896875754,3140990.1643433534,0,0.0019877892172778,43121117.83554311,0,0.0476942772722833,0.0,0.0,3170976.1931674,0,0.0028072074462651,7271158.894193063,0,0.0086703558654422,13749822.380289886,0,0.0305424896875754,3140990.1643433534,0,0.0019877892172778,43121117.83554311,0,0.0476942772722833,0.0,0.0,2599756.3145226105,0,0.0028072074462651,5961331.809998151,0,0.0086703558654422,11272928.391498605,0,0.0305424896875754,2575171.971079496,0,0.0019877892172778,35353276.5789228,0,0.0476942772722833,0.0,0.0
1266283488.8524034,0,0.6207913892019673,0.0,0,0.0,17958925.422409113,0,0.0216394604492466,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1266283488.8524034,0,0.6207913892019673,0.0,0,0.0,17958925.422409113,0,0.0216394604492466,0.0,0,0.0,0.0,0,0.0,0.0,0.0,777797937.4477087,0,0.6207913892019673,0.0,0,0.0,11031033.1575011,0,0.0216394604492466,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0.0,0,0.0,430022538.1179196,0,0.2713328882770743,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,216554255.01938024,0,0.2713328882770743,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,331552844.1412525,0,0.2713328882770743,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
2623655.919758304,0,0.0028371699789636,5971450.048452458,0,0.0086984544276469,36621638.72579568,0,0.0976103636202494,11113809.818114184,0,0.0076307990848928,1209576.014108225,0,0.0016280221259506,0.0,0.0,3200127.03273076,0,0.0028371699789636,7283500.317531925,0,0.0086984544276469,44668165.20670688,0,0.0976103636202494,13555742.186975531,0,0.0076307990848928,1475344.717171236,0,0.0016280221259506,0.0,0.0,4016917.5256614136,0,0.0028371699789636,9142518.335807577,0,0.0086984544276469,56069129.07605699,0,0.0976103636202494,17015667.7554591,0,0.0076307990848928,1851907.124368124,0,0.0016280221259506,0.0,0.0
784006094.0230322,0,0.627049995454915,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,984113376.4677744,0,0.627049995454915,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,642775180.069914,0,0.627049995454915,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
978402390.2401452,0,0.6224560136149017,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,978402390.2401452,0,0.6224560136149017,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,978402390.2401452,0,0.6224560136149017,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
1274286362.7498395,0,0.625727939948527,0.0,0,0.0,59644705.00323915,0,0.071935515379665,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1274286362.7498395,0,0.625727939948527,0.0,0,0.0,59644705.00323915,0,0.071935515379665,0.0,0,0.0,0.0,0,0.0,0.0,0.0,982490986.7962928,0,0.625727939948527,0.0,0,0.0,45986825.87275736,0,0.071935515379665,0.0,0,0.0,0.0,0,0.0,0.0,0.0
1276744944.317554,0,0.627268624279579,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1276744944.317554,0,0.627268624279579,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,784223748.5359267,0,0.627268624279579,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0.0,0,0.0,9156089.0574609,0,0.0087230692153381,0.0,0,0.0,44656608.944656536,0,0.0193571536235881,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5980313.786374304,0,0.0087230692153381,0.0,0,0.0,29167533.479465187,0,0.0193571536235881,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9156089.0574609,0,0.0087230692153381,0.0,0,0.0,44656608.944656536,0,0.0193571536235881,0.0,0,0.0,0.0,0.0
211406198.60095432,0,0.1405107628078914,88255573.08416124,0,0.0764612983274728,0.0,0,0.0,47411904.46520945,0,0.0185552539371503,0.0,0,0.0,0.0,0.0,168419363.0334411,0,0.1405107628078914,70309893.94517522,0,0.0764612983274728,0.0,0,0.0,37771280.13784214,0,0.0185552539371503,0.0,0,0.0,0.0,0.0,168419363.0334411,0,0.1405107628078914,70309893.94517522,0,0.0764612983274728,0.0,0,0.0,37771280.13784214,0,0.0185552539371503,0.0,0,0.0,0.0,0.0
83413497.84061153,0,0.0439546187182888,267754682.5241986,0,0.1746666303970314,0.0,0,0.0,57273527.48078636,0,0.0156652005010799,0.0,0,0.0,0.0,0.0,64312867.34380708,0,0.0439546187182888,206442264.4254348,0,0.1746666303970314,0.0,0,0.0,44158617.85609419,0,0.0156652005010799,0.0,0,0.0,0.0,0.0,64312867.34380708,0,0.0439546187182888,206442264.4254348,0,0.1746666303970314,0.0,0,0.0,44158617.85609419,0,0.0156652005010799,0.0,0,0.0,0.0,0.0
629853236.7336197,0,0.6112058804548554,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,768244934.2328033,0,0.6112058804548554,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,768244934.2328033,0,0.6112058804548554,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
1269732678.8837044,0,0.6229180023166384,0.0,0,0.0,0.0,0,0.0,8232432.866247908,0,0.002606529545806,0.0,0,0.0,0.0,0.0,779916556.9478669,0,0.6229180023166384,0.0,0,0.0,0.0,0,0.0,5056663.345857382,0,0.002606529545806,0.0,0,0.0,0.0,0.0,1269732678.8837044,0,0.6229180023166384,0.0,0,0.0,0.0,0,0.0,8232432.866247908,0,0.002606529545806,0.0,0,0.0,0.0,0.0
96264248.6676649,0,0.0813816961818775,38360823.1579719,0,0.0427167558891784,158177775.98156905,0,0.3358162948461673,10050036.554312931,0,0.0055174025753058,0.0,0,0.0,0.0,0.0,96264248.6676649,0,0.0813816961818775,38360823.1579719,0,0.0427167558891784,158177775.98156905,0,0.3358162948461673,10050036.554312931,0,0.0055174025753058,0.0,0,0.0,0.0,0.0,120834436.7622812,0,0.0813816961818775,48151920.6162776,0,0.0427167558891784,198550580.65251732,0,0.3358162948461673,12615176.696316477,0,0.0055174025753058,0.0,0,0.0,0.0,0.0
1101717672.1134405,0,0.5448086719041384,0.0,0,0.0,868696027.9665864,0,1.0627746549798949,0.0,0,0.0,12097217.37198579,0,0.0071478877092727,0.0,0.0,554811965.8341923,0,0.5448086719041384,0.0,0,0.0,437465026.8284614,0,1.0627746549798949,0.0,0,0.0,6092015.333111493,0,0.0071478877092727,0.0,0.0,1101717672.1134405,0,0.5448086719041384,0.0,0,0.0,868696027.9665864,0,1.0627746549798949,0.0,0,0.0,12097217.37198579,0,0.0071478877092727,0.0,0.0
5093335.379364156,0,0.0027635630162825,116647967.24904358,0,0.0789677865540565,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2564943.3480149363,0,0.0027635630162825,58742534.18832386,0,0.0789677865540565,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3128514.102627333,0,0.0027635630162825,71649475.91316909,0,0.0789677865540565,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
643816616.4881357,0,0.6283259247438613,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,55128462.23813698,0,0.0706797143346517,0.0,0.0,1278458626.8228374,0,0.6283259247438613,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,109471325.10538743,0,0.0706797143346517,0.0,0.0,985707855.4422134,0,0.6283259247438613,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,84403783.46088001,0,0.0706797143346517,0.0,0.0
63315570.05498875,0,0.0431379867150175,95546630.66288868,0,0.0830628663885898,115155454.14761552,0,0.1938142891312319,0.0,0,0.0,0.0,0,0.0,0.0,0.0,50441132.04499144,0,0.0431379867150175,76118405.14955708,0,0.0830628663885898,91740016.92342286,0,0.1938142891312319,0.0,0,0.0,0.0,0,0.0,0.0,0.0,82120007.77115801,0,0.0431379867150175,123923547.48966148,0,0.0830628663885898,149356102.79241765,0,0.1938142891312319,0.0,0,0.0,0.0,0,0.0,0.0,0.0
644585060.8717163,0,0.6292674009587989,5733261.977061376,0,0.0080370011153331,445061159.0405768,0,1.0917161177529044,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1279984564.9956996,0,0.6292674009587989,11384823.017447772,0,0.0080370011153331,883780044.9185542,0,1.0917161177529044,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1279984564.9956996,0,0.6292674009587989,11384823.017447772,0,0.0080370011153331,883780044.9185542,0,1.0917161177529044,0.0,0,0.0,0.0,0,0.0,0.0,0.0
279776755.48758525,0,0.2313772375642733,0.0,0,0.0,555759949.6248351,0,1.1315356835034525,0.0,0,0.0,0.0,0,0.0,0.0,0.0,279776755.48758525,0,0.2313772375642733,0.0,0,0.0,555759949.6248351,0,1.1315356835034525,0.0,0,0.0,0.0,0,0.0,0.0,0.0,351186106.33146155,0,0.2313772375642733,0.0,0,0.0,697610394.486027,0,1.1315356835034525,0.0,0,0.0,0.0,0,0.0,0.0,0.0
1264188887.9970431,0,0.6195000393829051,0.0,0,0.0,0.0,0,0.0,674214.1176614363,0,0.0002132819829024,0.0,0,0.0,0.0,0.0,1264188887.9970431,0,0.6195000393829051,0.0,0,0.0,0.0,0,0.0,674214.1176614363,0,0.0002132819829024,0.0,0,0.0,0.0,0.0,636630545.0922835,0,0.6195000393829051,0.0,0,0.0,0.0,0,0.0,339526.2411424684,0,0.0002132819829024,0.0,0,0.0,0.0,0.0
0.0,0,0.0,65299597.399020754,0,0.0873850596880539,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,129668653.2854882,0,0.0873850596880539,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,65299597.399020754,0,0.0873850596880539,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
782769430.0493573,0,0.6258077451952581,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1274377260.6320984,0,0.6258077451952581,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1274377260.6320984,0,0.6258077451952581,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
12403160.098566646,0,0.0087133486983405,39391857.56848267,0,0.035761801677585,233344493.8793076,0,0.3933851905568082,0.0,0,0.0,181106092.6920845,0,0.1527139170213014,0.0,0.0,16086842.506457962,0,0.0087133486983405,51091060.96391004,0,0.035761801677585,302646752.35622936,0,0.3933851905568082,0.0,0,0.0,234893782.4671172,0,0.1527139170213014,0.0,0.0,9881130.909247411,0,0.0087133486983405,31382010.57628751,0,0.035761801677585,185896777.32531852,0,0.3933851905568082,0.0,0,0.0,144280408.87415367,0,0.1527139170213014,0.0,0.0
39288311.85249962,0,0.0339630184393986,232045743.4341076,0,0.2433650504551132,0.0,0,0.0,0.0,0,0.0,144068586.55746162,0,0.1440740314733883,0.0,0.0,63962808.60162238,0,0.0339630184393986,377778957.0043003,0,0.2433650504551132,0.0,0,0.0,0.0,0,0.0,234548927.9884877,0,0.1440740314733883,0.0,0.0,39288311.85249962,0,0.0339630184393986,232045743.4341076,0,0.2433650504551132,0.0,0,0.0,0.0,0,0.0,144068586.55746162,0,0.1440740314733883,0.0,0.0
0.0,0,0.0,2230979.1478237305,0,0.0032634853500717,152173824.5262144,0,0.3930593235237044,0.0,0,0.0,147583858.440369,0,0.1853565252130264,0.0,0.0,0.0,0,0.0,2230979.1478237305,0,0.0032634853500717,152173824.5262144,0,0.3930593235237044,0.0,0,0.0,147583858.440369,0,0.1853565252130264,0.0,0.0,0.0,0,0.0,2230979.1478237305,0,0.0032634853500717,152173824.5262144,0,0.3930593235237044,0.0,0,0.0,147583858.440369,0,0.1853565252130264,0.0,0.0
638209.4510399302,0,0.0005651910573479,7255291.752352952,0,0.0086342300588993,13841464.476699255,0,0.0309058491664619,34360642.16663647,0,0.0185553715667533,0.0,0,0.0,0.0,0.0,1039028.3277599358,0,0.0005651910573479,11811880.323260974,0,0.0086342300588993,22534410.39699297,0,0.0309058491664619,55940382.13157723,0,0.0185553715667533,0.0,0,0.0,0.0,0.0,523242.3548004472,0,0.0005651910573479,5948322.976226033,0,0.0086342300588993,11348062.074094428,0,0.0309058491664619,28170913.624720886,0,0.0185553715667533,0.0,0,0.0,0.0,0.0
640346015.5245881,0,0.624049620197905,0.0,0,0.0,10254934.440019444,0,0.0262197973062057,2010109.481219662,0,0.0012559696631266,0.0,0,0.0,0.0,0.0,1271566882.1420147,0,0.624049620197905,0.0,0,0.0,20363732.57009137,0,0.0262197973062057,3991574.2174247103,0,0.0012559696631266,0.0,0,0.0,0.0,0.0,980394232.6725264,0,0.624049620197905,0.0,0,0.0,15700696.71346909,0,0.0262197973062057,3077554.470005833,0,0.0012559696631266,0.0,0,0.0,0.0,0.0
0.0,0,0.0,31590224.287565827,0,0.0362358560680367,0.0,0,0.0,2620313.0134476884,0,0.0014799803284252,47814901.44927981,0,0.0519494565774923,0.0,0.0,0.0,0,0.0,31590224.287565827,0,0.0362358560680367,0.0,0,0.0,2620313.0134476884,0,0.0014799803284252,47814901.44927981,0,0.0519494565774923,0.0,0.0,0.0,0,0.0,51430040.5009471,0,0.0362358560680367,0.0,0,0.0,4265965.419555984,0,0.0014799803284252,77844408.31125045,0,0.0519494565774923,0.0,0.0
787616195.4898351,0,0.6306763089184506,22180231.63398643,0,0.0246472791600302,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,988644909.0297931,0,0.6306763089184506,27841445.124683533,0,0.0246472791600302,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,645734957.5998151,0,0.6306763089184506,18184683.11817637,0,0.0246472791600302,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0.0,0,0.0,9043429.119112091,0,0.0085187248529225,28236651.619870234,0,0.0495280702903611,54064.61491316341,0,2.665192271822529e-05,274128861.438913,0,0.22967513104347,0.0,0.0,0.0,0,0.0,5906729.772692128,0,0.0085187248529225,18442812.854223862,0,0.0495280702903611,35312.387187491026,0,2.665192271822529e-05,179047691.54362544,0,0.22967513104347,0.0,0.0,0.0,0,0.0,5906729.772692128,0,0.0085187248529225,18442812.854223862,0,0.0495280702903611,35312.387187491026,0,2.665192271822529e-05,179047691.54362544,0,0.22967513104347,0.0,0.0
984386584.4430964,0,0.627268624279579,8003136.264557268,0,0.0069139973852137,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,984386584.4430964,0,0.627268624279579,8003136.264557268,0,0.0069139973852137,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,642953626.2832605,0,0.627268624279579,5227260.879268526,0,0.0069139973852137,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
31554261.25125544,0,0.0219579147968437,118344980.15459204,0,0.1034320128421923,317244430.9414708,0,0.5274734919677759,230582.2946810952,0,0.0001022707542019,4582319.056021671,0,0.0039311113428417,0.0,0.0,25138092.525652383,0,0.0219579147968437,94280992.26865168,0,0.1034320128421923,252736699.95799172,0,0.5274734919677759,183696.2371679672,0,0.0001022707542019,3650561.155436646,0,0.0039311113428417,0.0,0.0,40925734.01638479,0,0.0219579147968437,153492903.5864679,0,0.1034320128421923,411464590.96308017,0,0.5274734919677759,299064.19249890384,0,0.0001022707542019,5943247.074354908,0,0.0039311113428417,0.0,0.0
25074265.21028837,0,0.0218923102361414,170164.57654650175,0,0.000202943118,10288894.417640842,0,0.0229424498300995,43313780.29373608,0,0.0224841770177515,0.0,0,0.0,0.0,0.0,25074265.21028837,0,0.0218923102361414,170164.57654650175,0,0.000202943118,10288894.417640842,0,0.0229424498300995,43313780.29373608,0,0.0224841770177515,0.0,0,0.0,0.0,0.0,20557385.27867923,0,0.0218923102361414,139511.11753473827,0,0.000202943118,8435452.240024474,0,0.0229424498300995,35511232.80809218,0,0.0224841770177515,0.0,0,0.0,0.0,0.0
846888555.8258209,0,0.5427666534122486,1033387.09989788,0,0.0009557870777503,224401554.0653796,0,0.3713411861786481,0.0,0,0.0,0.0,0,0.0,0.0,0.0,846888555.8258209,0,0.5427666534122486,1033387.09989788,0,0.0009557870777503,224401554.0653796,0,0.3713411861786481,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1098410623.5689104,0,0.5427666534122486,1340298.3910675847,0,0.0009557870777503,291047799.896685,0,0.3713411861786481,0.0,0,0.0,0.0,0,0.0,0.0,0.0
101609263.19870026,0,0.0534081843977308,37006325.01273357,0,0.025793589170505,912098877.6881732,0,1.1458093560893958,0.0,0,0.0,0.0,0,0.0,0.0,0.0,78342033.77356029,0,0.0534081843977308,28532347.078568395,0,0.025793589170505,703239831.0077239,0,1.1458093560893958,0.0,0,0.0,0.0,0,0.0,0.0,0.0,51169221.01657101,0,0.0534081843977308,18635946.802258145,0,0.025793589170505,459322187.68406063,0,1.1458093560893958,0.0,0,0.0,0.0,0,0.0,0.0,0.0
964329387.1640452,0,0.6112058804548554,29050525.98650003,0,0.0226366134468377,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,629853236.7336197,0,0.6112058804548554,18974396.160653893,0,0.0226366134468377,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,964329387.1640452,0,0.6112058804548554,29050525.98650003,0,0.0226366134468377,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
1277092871.9739602,0,0.6274606042637766,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,984654841.089694,0,0.6274606042637766,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,643128838.5285615,0,0.6274606042637766,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
172072019.81465194,0,0.1442330934552245,0.0,0,0.0,186504380.7084081,0,0.3951154627793681,0.0,0,0.0,0.0,0,0.0,0.0,0.0,215991148.16376945,0,0.1442330934552245,0.0,0,0.0,234107180.064331,0,0.3951154627793681,0.0,0,0.0,0.0,0,0.0,0.0,0.0,280139541.5109675,0,0.1442330934552245,0.0,0,0.0,303635952.8859994,0,0.3951154627793681,0.0,0,0.0,0.0,0,0.0,0.0,0.0
979072945.4970224,0,0.622992341650865,0.0,0,0.0,565398017.626678,0,0.8992881285631107,0.0,0,0.0,0.0,0,0.0,0.0,0.0,639483014.7540805,0,0.622992341650865,0.0,0,0.0,369290593.219633,0,0.8992881285631107,0.0,0,0.0,0.0,0,0.0,0.0,0.0,979072945.4970224,0,0.622992341650865,0.0,0,0.0,565398017.626678,0,0.8992881285631107,0.0,0,0.0,0.0,0,0.0,0.0,0.0
